,loss,accuracy,val_loss,val_accuracy
0,0.4630344212055206,0.7928677201271057,0.4097717702388763,0.8283582329750061
1,0.3966282904148102,0.8331200480461121,0.3854909539222717,0.8402408957481384
2,0.3820433914661407,0.8410835266113281,0.3692061603069305,0.8477286100387573
3,0.3740351498126983,0.8457602262496948,0.3666549324989319,0.8491936326026917
4,0.366702675819397,0.8491088151931763,0.3700668215751648,0.846927285194397
5,0.3629052340984344,0.8507937788963318,0.3618269562721252,0.8503330945968628
6,0.3603563010692596,0.8523392677307129,0.3623126447200775,0.8519358038902283
7,0.3585117757320404,0.8534447550773621,0.3588392734527588,0.8532254695892334
8,0.3565288782119751,0.8546602129936218,0.3448413014411926,0.8617399334907532
9,0.3550454676151275,0.8558488488197327,0.3543421626091003,0.8541269898414612
10,0.3530477881431579,0.8562593460083008,0.3471633493900299,0.8588851094245911
11,0.3520414233207702,0.8569730520248413,0.3598920702934265,0.8511594533920288
12,0.3504603505134582,0.8577833771705627,0.3633261620998382,0.8526995778083801
13,0.3477396368980407,0.8594817519187927,0.3357483744621277,0.8667609691619873
14,0.3443688452243805,0.8613250851631165,0.3423275351524353,0.8629544973373413
15,0.3424355387687683,0.8626559376716614,0.3408208787441253,0.8651207089424133
16,0.3391807377338409,0.8649365901947021,0.3371135592460632,0.8664730191230774
17,0.3374753892421722,0.8654410243034363,0.3305141925811767,0.8698161840438843
18,0.335199624300003,0.8665330410003662,0.3258411884307861,0.8719072341918945
19,0.3333402276039123,0.8678585290908813,0.3261610269546509,0.8731593489646912
20,0.3315230309963226,0.8687412738800049,0.339981198310852,0.8658594489097595
21,0.3307568430900574,0.8693073987960815,0.3240991234779358,0.8714063763618469
22,0.3301244080066681,0.8699996471405029,0.3197194635868072,0.8756511211395264
23,0.3280474841594696,0.870699942111969,0.3225256502628326,0.874661922454834
24,0.3259684443473816,0.8721649646759033,0.319424420595169,0.8748872876167297
25,0.324861466884613,0.8724520206451416,0.312990128993988,0.8788940906524658
26,0.3230485320091247,0.8739948272705078,0.3132654726505279,0.8783431649208069
27,0.3220941722393036,0.8737238645553589,0.3150788843631744,0.8792822957038879
28,0.3209773898124695,0.8749070763587952,0.3124083876609802,0.8787689208984375
29,0.3208074569702148,0.8749285340309143,0.312989592552185,0.8770534992218018
30,0.3198688626289367,0.8754249215126038,0.3135221302509308,0.8796078562736511
31,0.3196602165699005,0.8758810758590698,0.3085238933563232,0.8819242715835571
32,0.3184676468372345,0.876409649848938,0.3150900304317474,0.8743864297866821
33,0.3173924386501312,0.8770025968551636,0.3304383158683777,0.8706801533699036
34,0.3171782195568084,0.8768899440765381,0.3142064213752746,0.87995845079422
35,0.3169507980346679,0.8769811391830444,0.3129949271678924,0.8796328902244568
36,0.3167735636234283,0.8769328594207764,0.3124518692493438,0.8797956705093384
